Title,Poet,era,cap_rate,punct_rate,colon_density,concrete_abstract_ratio,adv_verb_ratio,rhyme_rate
"
                    Ode I. 11
                ",Horace,Pre-1800,1.0,0.7777777777777778,2.702702702702702,0.36,0.15,0.0
"
                    Ode I, 5: To Pyrrha
                ",Horace,Pre-1800,1.0,0.5263157894736842,0.0,0.28125,0.2307692307692307,0.0
"
from Odes, Book Three, 15
                ",Horace,Pre-1800,0.9655172413793104,0.896551724137931,4.784688995215311,0.4516129032258064,0.1627906976744186,0.1714285714285714
"
                    ""Doing, a filthy pleasure is, and short""
                ",Gaius Petronius,Pre-1800,1.0,1.0,6.172839506172839,0.0689655172413793,0.6875,0.1333333333333333
"
                    Spring, the sweet spring
                ",Thomas Nashe,Pre-1800,1.0,1.0,3.125,1.1428571428571428,0.2142857142857142,0.5833333333333334
"
                    In Time of Plague [Adieu, farewell, earth’s bliss]
                ",Thomas Nashe,Pre-1800,1.0,1.0,6.60377358490566,0.5531914893617021,0.0862068965517241,0.1325301204819277
"
                    Written with a Diamond on her Window at Woodstock
                ",Queen Elizabeth I,Pre-1800,1.0,1.0,0.0,0.75,0.2,0.3333333333333333
"
                    Written on a Wall at Woodstock
                ",Queen Elizabeth I,Pre-1800,1.0,0.875,0.0,0.1379310344827586,0.1666666666666666,0.3333333333333333
"
                    Written in her French Psalter
                ",Queen Elizabeth I,Pre-1800,1.0,1.0,0.0,0.3,0.75,0.3333333333333333
"
                    The Doubt of Future Foes
                ",Queen Elizabeth I,Pre-1800,1.0,0.9333333333333332,1.1904761904761905,0.1884057971014492,0.21875,0.2592592592592592
"
                    In Defiance of Fortune
                ",Queen Elizabeth I,Pre-1800,1.0,0.5,0.0,0.6666666666666666,0.1428571428571428,1.0
"
                    On Monsieur’s Departure
                ",Queen Elizabeth I,Pre-1800,1.0,1.0,0.625,0.2586206896551724,0.2826086956521739,0.2222222222222222
"
                    When I Was Fair and Young
                ",Queen Elizabeth I,Pre-1800,1.0,0.9411764705882352,3.614457831325301,0.3958333333333333,0.2448979591836734,0.1612903225806451
"
                    The Milkmaid’s Epithalamium
                ",Thomas Randolph,Pre-1800,1.0,0.8695652173913043,0.9852216748768472,0.3611111111111111,0.2391304347826087,0.1282051282051282
"
                    My Dearest Dust
                ",Lady Catherine Dyer,Pre-1800,1.0,1.0,5.660377358490567,0.4166666666666667,0.4285714285714285,0.0769230769230769
"
                    On a Girdle
                ",Edmund Waller,Pre-1800,1.0,1.0,2.4096385542168677,0.5,0.3846153846153846,0.1176470588235294
"
                    To the King on his Navy
                ",Edmund Waller,Pre-1800,1.0,0.8620689655172413,2.82258064516129,0.1976744186046511,0.3157894736842105,0.1636363636363636
"
                    Of the Last Verses in the Book
                ",Edmund Waller,Pre-1800,1.0,0.9333333333333332,2.877697841726619,0.1929824561403508,0.2,0.1666666666666666
"
                    The Self Banished
                ",Edmund Waller,Pre-1800,1.0,0.9375,1.4925373134328357,0.2978723404255319,0.2307692307692307,0.1724137931034483
"
                    Song: Go, Lovely Rose
                ",Edmund Waller,Pre-1800,1.0,0.75,1.8018018018018016,0.1590909090909091,0.28,0.2972972972972973
"
                    The Story of Phœbus and Daphne, Applied
                ",Edmund Waller,Pre-1800,1.0,1.0,5.161290322580645,0.1851851851851851,0.2142857142857142,0.2702702702702703
"
                    Oh, For a Bowl of Fat Canary
                ",John Lyly,Pre-1800,1.0,1.0,3.96039603960396,0.6451612903225806,0.1764705882352941,0.28
"
from From the Theatre of Illusion
                ",Pierre Corneille,Pre-1800,0.8145695364238411,0.7615894039735099,1.7351598173515983,0.2806539509536784,0.2783018867924528,0.1535433070866141
"
                    A Modest Love
                ",Sir Edward Dyer,Pre-1800,1.0,1.0,7.6190476190476195,0.2857142857142857,0.3,0.0952380952380952
"
from At a Vacation Exercise
                ",John Milton,Pre-1800,1.0,0.8181818181818182,2.93398533007335,0.2916666666666667,0.3333333333333333,0.1647058823529411
"
Paradise Lost: Book  8 (1674 version)
                ",John Milton,Pre-1800,0.9979423868312756,0.7613168724279835,2.7344541219363987,0.1918840579710145,0.5241691842900302,0.0072859744990892
